1028,PP CH SN. TANDOORI KABAB 1 KG                     ,490
1029,PP CH SN. ACHARI KABAB 1 KG                       ,490
1101,MUTTON SEEKH KEBAB (SPL) 1KG                      ,500
1102,MUTTON MASALA SEEKH KEBAB 1KG                     ,500
1103,HOT MUTTON SEEK KABAB 1 KG                        ,500
1201,FISH ORLEY 1KG                                    ,650
1202,PP ELEGANT FISH TIKKA 1 KG                        ,780
1301,PP     CHILLY    PANEER  1KG                      ,400
1302,HARA KEBAB 1KG                                    ,350
1303,VEG HARA BHARA KABAB 1 KG                         ,399
1304,VEG THAI SPRING ROL 1 KG                          ,399
1305,VEG CHEESE CORN TRAINGLE 1 KG                     ,580
1306,VEG SHAMI KABAB 1KG                               ,399
140043,DELISH BLACKBERRIS 200GM PKT                      ,205
1401,PP CH SALAMI PLAIN 1 KG                           ,450
1402,PP CH SALAMI COCTAIL  V 1 KG                      ,500
1403,PP CH SALAMI BLACK PEPER 1 KG                     ,500
1404,PP CH SALAMI PEPRICA 1KG                          ,480
1405,PP CH SALAMI PISTA 1KG                            ,480
1406,PP CH SALAMI OLIVE 1KG                            ,480
1407,PP CH SALAMI HERBS 1KG                            ,480
1408,PP CH HAM REGULAR 1KG                             ,480
1409,PP CH HAM SMOKED 1KG                              ,600
1410,PP MZ CH MORTADELLA  1 KG                         ,700
1501,PP PORK HAM PRIME 1KG                             ,600
1502,PP PORK HAM SMOKED 1KG                            ,480
1503,PP PORK SALAMI PLAIN 1KG                          ,450
1504,PP PORK SALAMI SPICY 1KG                          ,450
1505,PORK   BECON 1 KG                                 ,600
1506,PORK PLAN SAUSAGE 1 KG                            ,600
1507,FARM PORK MEAT 1 KG                               ,600
1508,R    DOG MEAT 1 KG                                ,100
1509,MZ PORK HAM 1 KG                                  ,600
1510,PP MZ PORK SAUSAGES 1 KG                          ,550
1511,MZ PORK BECON  250GM                              ,239
160001,SHAN MEAT MASALA 100GM                            ,60
160002,SHAN BUTTER CHICKEN 50GM                          ,60
160003,SHAN BOMBAY BIRYANI 60GM                          ,60
160004,SHAN ROGAN JOSH CURRY                             ,60
160005,SHAN MEMONI MUTTON BIRYANI 60GM                   ,60
160006,SHAN CHICKEN MASALA 50 GM                         ,60
160010,KAINAT MEAT MASALA 30GM                           ,25
160011,SHAAN SHEER KHURMA 1 PC                           ,70
160012,NAZEER CHICKEN MASALA 30 GM                       ,20
160013,NAZEER MEAT MASALA 1 PC                           ,20
160014,SHAN SPECIAL KHEER 1 PC                           ,70
160015,SHAN NIHARI 60 GM 1 PC                            ,60
160016,SHAN  KORMA 50 GM 1 PC                            ,60
160017,SHAN TANDOORI MASALA 50 GM 1 PC                   ,60
160018,SHAN FISH SEASSONING 50 GM1PC                     ,60
160019,SHAN HALEEM MASALA 1 PC 50 GM                     ,60
160020,SHAN PILAU BIRYANI MASALA 1PC 50 GM               ,60
160021,SHAN LAHORI FISH 1 PC 100 GM                      ,60
160022,SHAN KARAHI GOSHT 50 GM 1 PC                      ,60
160023,SHAN MAL CHI BIRYANI 60 GM 1 PC                   ,60
160024,SHAN BIRYANI 50 GM 1 PC                           ,60
160025,SHAN SHEER KHURMA 150GM 1 PC                      ,60
160026,SHAN PANJABI YAKNI PILAU 50 GM                    ,60
160027,SHAN CHICKEN TIKKA 50 GM                          ,60
160028,SHAN ACHAR GOST 50GM                              ,60
160029,SHAN KEEMA 50 GM 1 PC                             ,60
160030,SHAN BADAM KHEER 150 GM                           ,70
160031,SHAN CHICKEN HANDI 50 GM                          ,60
160032,SHAN CHICKEN WHITE KORMA 40 GM                    ,60
160033,SHAN DAL  MASALA 50 GM                            ,60
160034,SHAN CHAT MASALA 50 GM                            ,60
160035,SHAN CHICKEN WHITE KARAHI 40 GM                   ,60
160036,SHAN ZAFRANI GARAM MASALA 50G.                    ,60
160037,NATIONAL CHICKEN BIRYANI 45GM                     ,55
160038,NATIONAL SINDHI BIRYANI 50 GM                     ,55
160039,NATIONAL BOMBAY BIRYANI 70 GM                     ,55
160040,NATIONAL BIRYANI MASALA 45 GM                     ,55
160060,NIMKISH KORMA MASALA 50G.                         ,45
160061,NIMKISH FISH FRY 40G.                             ,40
160062,NIMKISH RARA CHICKEN 50G.                         ,45
160063,NIMKISH AFGHANI CHICKEN 40G.                      ,45
160064,NIMKISH TANDOORI FISH 30G.                        ,40
160065,NIMKISH BUTTER CHICKEN 50G.                       ,45
160066,NIMKISH MEAT CURRY 50G.                           ,45
160067,NIMKISH MUTTON ROGAN JOSH 50G.                    ,45
160068,NIMKISH CHICKEN CURRY 50G.                        ,45
160069,NIMKISH KEEMA CURRY 50G.                          ,45
160070,NIMKISH BHUNA GOSHT 50G.                          ,45
160071,NIMKISH TANDOORI CHICKEN 40G.                     ,40
170001,LON  STRAWBERRY ICE CREAM 1LTR                    ,600
170002,LON MOCHA ALMONDS FUDGE I LTR                     ,600
170003,LON CHOCOLATE HAZELNUT 500 ML                     ,325
170004,LON COOKIES & CREAM 500 ML                        ,325
170005,LON PRALINES 500 ML                               ,325
1700053,DANON MISTI  DOI KULFI                            ,20
170006,LON CHOCO BROWINE 500 ML                          ,325
170007,LON DOUBLE CHOCOLATE 500 ML                       ,325
170008,LON NATURAL STRAWEBEERY 500 ML                    ,325
170009,LON KULFI 500 ML                                  ,325
170010,LON  ALMONDS  110 ML                              ,100
170011,LON PEANUT SURPRISE 75 ML                         ,60
170012,LON NATURAL STRAWBERRY 125 ML                     ,100
170013,LON VANILA 125 ML                                 ,100
170014,LON CARAMEL CRUNCH 125 ML                         ,100
170015,LON COOKIES & CREAM 125 ML                        ,100
170016,LON PRALINES CREAM 125 ML                         ,100
170017,LON DOUBLE CHOCOLATE 125 ML                       ,100
170018,LON MANGO SORBET 100 ML                           ,100
170019,LON TIRAMISU 500 ML                               ,325
170020,LON TIRAMISU 125ML                                ,100
170021,LON  HAZELNUT 110 ML                              ,100
170022,LON MANGO SORBET 500ML                            ,325
170023,AMUL FRESH CREAM 200 ML                           ,45
170024,LON DOUBLE CHOCOLATE 1 LTR                        ,600
170025,AMUL FRESH CREAM 1 LTR                            ,185
170026,AMUL BUTTER 100 GM                                ,37
170027,HOKEY POKEY MADKING ALPHA 125 ML                  ,60
170028,HOKEY POKEY KNIGHT ARMOR 125 ML                   ,65
170029,HOKEY POKEY NH7 WEEKEN MIX 125 ML                 ,50
170030,HOKEY POKEY FRENCH VANILA 125 ML                  ,60
170031,HOKEY POKEY DOUBLE CHCOLATE THE 125               ,75
170032,HOKEY POKEY L&L BROWNIE BREAK 500ML               ,225
170033,HOKEY POKEY MOCACCINO MAGIC  500 ML               ,225
170034,HOKEY POKEY BLACK FOREST BLEND 500M               ,225
170035,HOKEY POKEY WEE KEN DER MIX 500 ML                ,275
170036,HOKEY POKEY KNIGHT IN ARMOR 500ML                 ,225
170037,SOYFRESH SOYA CAPPUCCINO 1 LTR                    ,175
170038,SOYFRESH SOYA MILK 1 LTR                          ,175
170039,HOKEY MAD KING ALPHONSO 500ML                     ,195
170040,HOKEY FUSSY FRENCH VANILLA  500ML.                ,195
170041,HOKEY SILKY SMOOTH KULFI 500ML                    ,225
170042,DANON SWEET LASSI 200ML.                          ,25
170043,DANONE CHOCO SMOOTHIE 180ML.                      ,25
170044,DANONE BUTTERMILK MASALA 200ML.                   ,20
170045,DANONE DAHI 400G.                                 ,55
170046,DANONE MISTI DOI PLAN  85G.                       ,20
170047,DANONE MILK SHAKE STRAW BERRY 180ML               ,25
170048,DANONE MILK SHAKE CHOCOLATE 180ML.                ,25
170049,DANONE MANGO YOGHURT 80G.                         ,25
170050,DANONE MANGO LASSI 200ML.                         ,25
170051,DANONE VANILLA YOGHURT 80G.                       ,25
170052,DANONE STRAWBERRY YOGHURT 80G.                    ,25
170053,MURG UNSALTED BUTTER  150GM                       ,100
170054,MURG GARLIC HERBS BUTTER  125GM                   ,125
170055,HOKEY POKEY DOUBLE CHOCO 500ML                    ,275
170056,HOKEY POKEY MANIC MONKEY 500 ML                   ,245
170057,HOKEY POKEY VERRY V BERRY 500ML                   ,245
170058,KDD  MALAI MAGIC 200 ML                           ,45
170059,MOOZ  MASCARPONE 150G.                            ,200
170060,MOOZ RICOTTA 150G.                                ,180
170061,MOOZ CREAM CHEESE 150G.                           ,200
170062,MOOZ PLAIN TOASTY 180G.                           ,200
17009,LON BERRIES N CREAM 100 ML                        ,100
180001,SU ALOO PARATHA 400GM                             ,90
180002,SUMERU FLAKY PRATHA 400GM                         ,85
180003,SUMERU ONION PRATHA 400GM                         ,102
180004,SUMERU ATTA PRATHA 400GM                          ,69
180005,SUMERU JEERA PRATHA 400GM                         ,85
180006,SUMERU MALABAR PRATHA 400GM                       ,75
180007,SUMERU WASSAUP  FISH FINGER 200GM                 ,168
180008,SUMERU LARGE PROWNS 250GM                         ,260
180009,SUMERU MID PRAWNS 250GM                           ,230
180010,SUMERU JUMBO PRAWNS250GM                          ,293
180011,KEYA MULTIGRAIN PRATHA 300GM                      ,70
1800112,SU  SEER FISH 500GM                               ,528
1800113,SU. GREEN PEAS 500G.                              ,130
180012,KEYA BUTTER PRATHA 300GM                          ,75
180013,KEYA TANDOORI NAAN 300GM                          ,70
180014,KEYA FISH FILLETS 450GM                           ,280
180017,MCCAIN POTATO CHEES SHOTS 250GM                   ,185
180018,MCCAIN MASALA FRIES 420GM                         ,90
180019,MCCAIN ALOO TIKKI 400GM                           ,85
180020,MCCAIN PPTATO BITES 420GM                         ,95
180021,MCCAIN VEGGIE NUGGETS325GM                        ,95
180022,MCCIAI VEGGIE BURGER PATTY 360GM                  ,90
180023,MCCAIN VEGGIE FINGER 400GM                        ,95
180024,MCCAIN FRENCH FRIES 450GM                         ,85
180025,MCCAIN SUPER WEDGES 450 GM                        ,90
180026,MCCAIN SMILES 415 GM                              ,100
180027,MCCAIN VARIETY PACK VEG 550 GM                    ,120
180028,VENKY S  MURG MASALA 250GM                        ,100
180029,VENKY CH POPCORN 250GM                            ,100
180030,VENKY BUTTER CHICKEN 250GM                        ,140
180031,VENKY CHI SAUSAGES 300 GM                         ,155
180032,VENKY CHI  CHEESE NUGGETS 300GM                   ,125
180033,VENKY CHI NUGGETS  200 GM                         ,90
180034,PAGRO GREEN PEAS 400 GM                           ,75
180035,YAMMIZ  SWEET CORN 500 GM                         ,70
180036,VEZLAY SOYA SAMM KABAB 280 GM                     ,130
180037,VEZLAY SOYA SEEK KABAB 280 GM                     ,130
180038,VEZLAY SOYA CHOP 200 GM                           ,70
180039,SUMERU METHI PRATHA 1 PCS                         ,69
180040,DELISH HARA BHAR KABAB 240GM PKT                  ,99
180041,DELISH CHEESE CORN TRAING 180 GM 1P               ,115
180042,DELISH VEG SHAMI KABAB 240 GM1PKT                 ,99
180044,DELISH BLACKCRRUNT 200GM PKT                      ,205
180045,DELISH RASPBERRIES 1PKT                           ,205
180046,DELISH STRAWBERRIES 1 PKT                         ,139
180047,DELISH BLUEBERRY 200GM PKT                        ,239
180048,DELISHH  THAI VEG SPRING ROL 1 PKT                ,110
180051,DDDDDDDDDDDDDDDDDDDDDDD                           ,1
180055,PAGRO GREAN PEAS 1 KG                             ,140
180056,FRESH POTATO TEDDY BEARS 1 PC                     ,93
180057,POMFRET CAMBAY TIGER 500 GM                       ,473
180058,FRESH SAMOSA PATTI 190 GM                         ,74
180059,FRESH SPIRNG ROLL PATTI 200GM                     ,94
180111,SUMERU PORK BECON 150GM                           ,212
180112,C T CHILLI BASIL BASA FISH 200 GM                 ,203
180113,YAMMIEZ MUMBAI VADA 300 GM                        ,75
180114,MASALA MACKEREL 1 PC                              ,80
180115,CHE VON GOAT SAUSAGE 250GM.                       ,295
180116,CRAB STICK  250 GM                                ,170
180117,GADRE FISH POPCORN 200 GM                         ,140
180118,GADRE LOBSTER BITE 300 GM                         ,170
180119,GADRE CRAB CLAW  250 GM                           ,170
180120,GADRE FISH FINGERS 200G.                          ,140
180121,GADRE MASALA PRAWNS 200G.                         ,250
1851,PP  MAXICAN SALAMI 1 KG                           ,630
190001,FUN FOODS AMERICAN MUSTERD 260GM                  ,69
190002,F F MINT MAYO KABAB 235GM                         ,69
190003,F F CLASSIC MAYONNAISE 275 GM                     ,79
190004,F F VEG MAYONNAISE 275 GM                         ,79
